connectionTime,dayOfMonth_c,dayOfWeek_c,monthOfYear_c,session_count_c
2019-01-17 19:30:00,17,3,1,1
2019-01-17 20:00:00,17,3,1,1
2019-01-17 20:30:00,17,3,1,3
2019-01-17 21:00:00,17,3,1,1
2019-01-17 21:30:00,17,3,1,1
2019-01-17 23:00:00,17,3,1,2
2019-01-17 23:30:00,17,3,1,3
2019-01-18 00:00:00,18,4,1,1
2019-01-18 01:00:00,18,4,1,2
2019-01-18 07:00:00,18,4,1,1
2019-01-18 13:30:00,18,4,1,2
2019-01-18 14:00:00,18,4,1,2
2019-01-18 15:00:00,18,4,1,1
2019-01-18 15:30:00,18,4,1,8
2019-01-18 16:00:00,18,4,1,5
2019-01-18 16:30:00,18,4,1,2
2019-01-18 17:00:00,18,4,1,4
2019-01-18 18:00:00,18,4,1,3
2019-01-18 18:30:00,18,4,1,1
2019-01-18 19:00:00,18,4,1,1
2019-01-18 19:30:00,18,4,1,2
2019-01-18 21:00:00,18,4,1,2
2019-01-18 21:30:00,18,4,1,1
2019-01-18 22:30:00,18,4,1,1
2019-01-18 23:30:00,18,4,1,1
2019-01-19 03:00:00,19,5,1,1
2019-01-19 06:30:00,19,5,1,1
2019-01-19 15:00:00,19,5,1,1
2019-01-19 17:30:00,19,5,1,1
2019-01-19 21:30:00,19,5,1,1
2019-01-20 00:00:00,20,6,1,1
2019-01-20 01:00:00,20,6,1,1
2019-01-20 04:30:00,20,6,1,1
2019-01-21 15:00:00,21,0,1,1
2019-01-21 17:00:00,21,0,1,1
2019-01-21 17:30:00,21,0,1,1
2019-01-21 18:00:00,21,0,1,1
2019-01-21 18:30:00,21,0,1,1
2019-01-21 23:30:00,21,0,1,1
2019-01-22 13:00:00,22,1,1,2
2019-01-22 13:30:00,22,1,1,4
2019-01-22 14:00:00,22,1,1,10
2019-01-22 14:30:00,22,1,1,10
2019-01-22 15:00:00,22,1,1,13
2019-01-22 15:30:00,22,1,1,6
2019-01-22 16:00:00,22,1,1,4
2019-01-22 17:30:00,22,1,1,1
2019-01-22 18:30:00,22,1,1,1
2019-01-22 19:00:00,22,1,1,1
2019-01-22 19:30:00,22,1,1,1
2019-01-22 20:00:00,22,1,1,1
2019-01-22 20:30:00,22,1,1,1
2019-01-22 22:00:00,22,1,1,1
2019-01-22 23:00:00,22,1,1,2
2019-01-23 00:00:00,23,2,1,1
2019-01-23 00:30:00,23,2,1,1
2019-01-23 01:00:00,23,2,1,1
2019-01-23 13:00:00,23,2,1,1
2019-01-23 13:30:00,23,2,1,4
2019-01-23 14:00:00,23,2,1,9
2019-01-23 14:30:00,23,2,1,11
2019-01-23 15:00:00,23,2,1,15
2019-01-23 15:30:00,23,2,1,11
2019-01-23 16:00:00,23,2,1,1
2019-01-23 16:30:00,23,2,1,1
2019-01-23 19:00:00,23,2,1,1
2019-01-23 19:30:00,23,2,1,2
2019-01-23 20:00:00,23,2,1,2
2019-01-23 21:30:00,23,2,1,1
2019-01-23 22:30:00,23,2,1,3
2019-01-23 23:30:00,23,2,1,3
2019-01-24 00:00:00,24,3,1,2
2019-01-24 00:30:00,24,3,1,1
2019-01-24 03:00:00,24,3,1,1
2019-01-24 12:30:00,24,3,1,1
2019-01-24 13:30:00,24,3,1,2
2019-01-24 14:00:00,24,3,1,11
2019-01-24 14:30:00,24,3,1,11
2019-01-24 15:00:00,24,3,1,14
2019-01-24 15:30:00,24,3,1,12
2019-01-24 19:00:00,24,3,1,1
2019-01-24 19:30:00,24,3,1,3
2019-01-24 20:00:00,24,3,1,1
2019-01-24 22:00:00,24,3,1,2
2019-01-24 22:30:00,24,3,1,1
2019-01-24 23:30:00,24,3,1,2
2019-01-25 00:00:00,25,4,1,2
2019-01-25 00:30:00,25,4,1,1
2019-01-25 01:00:00,25,4,1,1
2019-01-25 13:30:00,25,4,1,6
2019-01-25 14:00:00,25,4,1,7
2019-01-25 14:30:00,25,4,1,11
2019-01-25 15:00:00,25,4,1,15
2019-01-25 15:30:00,25,4,1,12
2019-01-25 18:00:00,25,4,1,1
2019-01-25 18:30:00,25,4,1,1
2019-01-25 19:00:00,25,4,1,1
2019-01-25 19:30:00,25,4,1,3
2019-01-25 20:00:00,25,4,1,3
2019-01-25 20:30:00,25,4,1,1
2019-01-25 21:30:00,25,4,1,2
2019-01-25 22:30:00,25,4,1,2
2019-01-25 23:00:00,25,4,1,1
2019-01-26 00:00:00,26,5,1,1
2019-01-26 00:30:00,26,5,1,1
2019-01-26 01:00:00,26,5,1,1
2019-01-26 14:30:00,26,5,1,1
2019-01-26 18:30:00,26,5,1,1
2019-01-26 19:00:00,26,5,1,1
2019-01-26 23:00:00,26,5,1,1
2019-01-27 15:00:00,27,6,1,1
2019-01-27 21:00:00,27,6,1,1
2019-01-28 13:00:00,28,0,1,1
2019-01-28 13:30:00,28,0,1,3
2019-01-28 14:00:00,28,0,1,8
2019-01-28 14:30:00,28,0,1,10
2019-01-28 15:00:00,28,0,1,21
2019-01-28 15:30:00,28,0,1,7
2019-01-28 17:30:00,28,0,1,1
2019-01-28 19:30:00,28,0,1,2
2019-01-28 21:00:00,28,0,1,1
2019-01-28 21:30:00,28,0,1,3
2019-01-28 22:00:00,28,0,1,1
2019-01-28 23:00:00,28,0,1,3
2019-01-29 00:00:00,29,1,1,2
2019-01-29 00:30:00,29,1,1,1
